Question,Answer Disease,Answer Index,Number of Symptoms,llama31b_Answer,extracted,check
"A patient is presenting with the following symptoms: Neck swelling, Skin swelling, Groin mass, Skin rash. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cervicitis 2) Autonomic nervous system disorder 3) Idiopathic painful menstruation 4) Cat scratch disease",Cat scratch disease,4,4,"4) Cat scratch disease
Explanation: Cat scratch disease is a bacterial infection caused by Bartonella henselae. The disease is characterized by a combination of symptoms including a skin rash, swollen lymph nodes, and fever. The rash typically appears",4,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye, Spots or clouds in vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic glaucoma 2) Abscess of nose 3) Fibrocystic breast disease 4) Fracture of the pelvis",Chronic glaucoma,1,4,"1) Chronic glaucoma
Explanation: The patient is presenting with symptoms of eye pain, diminished vision, and spots or clouds in vision. These symptoms are most consistent with chronic glaucoma, which is a condition characterized by increased intraocular",1,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye, Spots or clouds in vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fibrocystic breast disease 2) Chronic glaucoma 3) Fracture of the pelvis 4) Abscess of nose",Chronic glaucoma,2,4,"2) Chronic glaucoma
Explanation: The patient is presenting with symptoms of diminished vision, pain in the eye, and spots or clouds in vision. These symptoms are most consistent with chronic glaucoma, which is a condition characterized by increased",2,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye, Spots or clouds in vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fibrocystic breast disease 2) Abscess of nose 3) Chronic glaucoma 4) Fracture of the pelvis",Chronic glaucoma,3,4,"3) Chronic glaucoma
Explanation: The patient is presenting with symptoms of diminished vision, pain in the eye, and spots or clouds in vision. These symptoms are most consistent with chronic glaucoma, which is a condition characterized by increased",3,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye, Spots or clouds in vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fibrocystic breast disease 2) Fracture of the pelvis 3) Abscess of nose 4) Chronic glaucoma",Chronic glaucoma,4,4,"4) Chronic glaucoma
Explanation: The patient is presenting with symptoms of diminished vision, pain in the eye, and spots or clouds in vision. These symptoms are most consistent with chronic glaucoma, which is a condition characterized by increased",4,same
"A patient is presenting with the following symptoms: Spots or clouds in vision, Diminished vision, Blindness, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Retinal detachment 2) Pemphigus 3) Deep vein thrombosis (DVT) 4) Diabetic peripheral neuropathy",Retinal detachment,1,4,"1) Retinal detachment
Explanation: The patient is presenting with symptoms of vision loss, which is a hallmark of retinal detachment. This condition occurs when the retina separates from the back of the eye, leading to vision loss. The other options",1,same
"A patient is presenting with the following symptoms: Spots or clouds in vision, Diminished vision, Blindness, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Diabetic peripheral neuropathy 2) Retinal detachment 3) Deep vein thrombosis (DVT) 4) Pemphigus",Retinal detachment,2,4,"2) Retinal detachment
Explanation: The patient is presenting with symptoms of vision loss, which is a common symptom of retinal detachment. Retinal detachment is a condition where the retina separates from the back of the eye, leading to vision loss",2,same
"A patient is presenting with the following symptoms: Spots or clouds in vision, Diminished vision, Blindness, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Diabetic peripheral neuropathy 2) Pemphigus 3) Retinal detachment 4) Deep vein thrombosis (DVT)",Retinal detachment,3,4,"3) Retinal detachment
Explanation: The patient is presenting with symptoms of vision loss, which is most consistent with a retinal detachment. This condition occurs when the retina separates from the back of the eye, leading to vision loss. The other",3,same
"A patient is presenting with the following symptoms: Spots or clouds in vision, Diminished vision, Blindness, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pemphigus 2) Diabetic peripheral neuropathy 3) Deep vein thrombosis (DVT) 4) Retinal detachment",Retinal detachment,4,4,"4) Retinal detachment
Explanation: The patient is presenting with symptoms of vision loss, which is a hallmark of retinal detachment. The other options do not directly relate to vision loss. Pemphigus is an autoimmune disease that affects",4,same
"A patient is presenting with the following symptoms: Fatigue, Fever, Weakness, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Aplastic anemia 2) Poisoning due to opioids 3) Hematoma 4) Dislocation of the finger",Aplastic anemia,1,4,"1) Aplastic anemia
Explanation: Aplastic anemia is a condition in which the bone marrow fails to produce blood cells. The symptoms of fatigue, fever, weakness, and nausea are all consistent with this condition. The other",1,same
"A patient is presenting with the following symptoms: Fatigue, Fever, Weakness, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the finger 2) Aplastic anemia 3) Hematoma 4) Poisoning due to opioids",Aplastic anemia,2,4,"2) Aplastic anemia
Explanation: Aplastic anemia is a condition in which the bone marrow fails to produce blood cells. The symptoms of fatigue, fever, weakness, and nausea are all consistent with this condition. Dislocation",2,same
"A patient is presenting with the following symptoms: Fatigue, Fever, Weakness, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the finger 2) Poisoning due to opioids 3) Aplastic anemia 4) Hematoma",Aplastic anemia,3,4,"3) Aplastic anemia
Explanation: Aplastic anemia is a condition in which the bone marrow fails to produce blood cells. The symptoms of fatigue, fever, weakness, and nausea are consistent with this diagnosis. The other options",3,same
"A patient is presenting with the following symptoms: Fatigue, Fever, Weakness, Nausea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the finger 2) Poisoning due to opioids 3) Hematoma 4) Aplastic anemia",Aplastic anemia,4,4,"4) Aplastic anemia
Explanation: Aplastic anemia is a condition in which the bone marrow fails to produce blood cells. The symptoms of fatigue, fever, weakness, and nausea are all consistent with this diagnosis. The other",4,same
"A patient is presenting with the following symptoms: Retention of urine, Involuntary urination, Symptoms of bladder, Frequent urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Overflow incontinence 2) Aortic valve disease 3) Impetigo 4) Zenker diverticulum",Overflow incontinence,1,4,"1) Overflow incontinence
Explanation: Overflow incontinence is a condition where the bladder is not fully emptied, leading to involuntary urination. This can be caused by a variety of factors, including bladder outlet obstruction, neurological disorders, or",1,same
"A patient is presenting with the following symptoms: Retention of urine, Involuntary urination, Symptoms of bladder, Frequent urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Zenker diverticulum 2) Overflow incontinence 3) Aortic valve disease 4) Impetigo",Overflow incontinence,2,4,"2) Overflow incontinence
Explanation: Overflow incontinence is a condition where the bladder is not fully emptied, leading to involuntary urination. This can be caused by a variety of factors, including bladder outlet obstruction, neurological disorders, or",2,same
"A patient is presenting with the following symptoms: Retention of urine, Involuntary urination, Symptoms of bladder, Frequent urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Aortic valve disease 2) Impetigo 3) Overflow incontinence 4) Zenker diverticulum",Overflow incontinence,3,4,"3) Overflow incontinence
Explanation: Overflow incontinence is a condition where the bladder is not fully emptied, leading to involuntary urination. This can be caused by a variety of factors, including bladder outlet obstruction, neurological disorders, or",3,same
"A patient is presenting with the following symptoms: Retention of urine, Involuntary urination, Symptoms of bladder, Frequent urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Zenker diverticulum 2) Impetigo 3) Aortic valve disease 4) Overflow incontinence",Overflow incontinence,4,4,"4) Overflow incontinence
Explanation: Overflow incontinence is a condition where the bladder is not fully emptied, leading to involuntary urination. This can be caused by a variety of factors, including bladder outlet obstruction, neurological disorders, or",4,same
"A patient is presenting with the following symptoms: Pain in eye, Shoulder cramps or spasms, Facial pain, Ankle pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Rabies 2) Autonomic nervous system disorder 3) Tonsillitis 4) Carbon monoxide poisoning",Rabies,1,4,"2) Autonomic nervous system disorder
Explanation: The patient is presenting with symptoms of pain in the eye, shoulder cramps or spasms, facial pain, and ankle pain. These symptoms are suggestive of an autonomic nervous system disorder, which",2,different
"A patient is presenting with the following symptoms: Pain in eye, Shoulder cramps or spasms, Facial pain, Ankle pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Carbon monoxide poisoning 2) Rabies 3) Tonsillitis 4) Autonomic nervous system disorder",Rabies,2,4,"4) Autonomic nervous system disorder
Explanation: The symptoms described are consistent with Horner's syndrome, which is a manifestation of an autonomic nervous system disorder. Horner's syndrome is characterized by ptosis (drooping eyelid), m",4,different
